,Palavra,Quantidade de Palavra,perc,perc_acum,perc_form,perc_acum_form
0,desrespeito,20,0.6896551724137931,0.6896551724137931,69.0%,69.0%
1,Roubaram,5,0.1724137931034483,0.8620689655172414,17.2%,86.2%
2,problema,3,0.10344827586206896,0.9655172413793104,10.3%,96.6%
3,reclamando,1,0.034482758620689655,1.0,3.4%,100.0%
4,medíocre,0,0.0,1.0,0.0%,100.0%
5,reembolso,0,0.0,1.0,0.0%,100.0%
6,Nao atende,0,0.0,1.0,0.0%,100.0%
7,Nao consigo,0,0.0,1.0,0.0%,100.0%
8,desisti,0,0.0,1.0,0.0%,100.0%
9,pior cartao,0,0.0,1.0,0.0%,100.0%
10,roubo,0,0.0,1.0,0.0%,100.0%
11,desativaram,0,0.0,1.0,0.0%,100.0%
12,aumentando,0,0.0,1.0,0.0%,100.0%
13,faliu,0,0.0,1.0,0.0%,100.0%
